file, jumlah, tak_terdeteksi, false_positive, benar_deteksi, jumlah_terdeteksi, persentase_terdeteksi, persentase_false_positive, akurasi
00937.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00945.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00949.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00953.jpg, 1, 1, 2, 0, 2, 0.0, 100.0, None
00954.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00966.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00969.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00970.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00971.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00972.jpg, 2, 1, 0, 0, 1, 50.0, 0.0, 0.0
00973.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00974.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00976.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00977.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00978.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00981.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00987.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00998.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01001.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
01002.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01004.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01005.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01006.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01011.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01014.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01016.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01017.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01021.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01026.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01028.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01031.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01037.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01050.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01051.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01052.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01053.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01054.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01065.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01066.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01067.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01068.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01069.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01071.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01086.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01088.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01089.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01107.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01109.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01110.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01116.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01117.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01120.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01124.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01131.jpg, 2, 1, 1, 1, 2, 50.0, 50.0, 100.0
01134.jpg, 2, 1, 2, 1, 3, 50.0, 66.66666666666666, 100.0
01142.jpg, 3, 0, 0, 3, 3, 100.0, 0.0, 100.0
01150.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01157.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01165.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01166.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01167.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01173.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01178.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
01179.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01181.jpg, 1, 0, 1, 0, 2, 100.0, 50.0, 0.0
01182.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
01183.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01186.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01194.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01202.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
01204.jpg, 1, 1, 2, 0, 2, 0.0, 100.0, None
01206.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01208.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01209.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01210.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01214.jpg, 2, 2, 0, 0, 0, 0.0, None, None
01216.jpg, 3, 2, 0, 1, 1, 33.33333333333333, 0.0, 100.0
01218.jpg, 1, 1, 0, 0, 0, 0.0, None, None
01219.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
01220.jpg, 3, 3, 0, 0, 0, 0.0, None, None
01222.jpg, 3, 3, 0, 0, 0, 0.0, None, None
